read	gt_length	aln_length	n_alignments	n_mat	n_sub	n_ins	n_del	n_hdel	n_ctsub	n_cgsub	n_casub	n_gasub	n_gtsub	n_atsub
00db7502-5622-4489-8b6f-10b1d7fb49b6	180	245	1000	170	4	65	6	3	0	0	1	1	0	2
00db8e44-c19d-49d6-ab49-e1171a5cff0f	241	354	1000	226	8	113	7	0	3	0	0	3	0	2
00dbc729-f374-4da1-a026-9ba294a4fbba	292	311	1000	279	7	19	6	1	2	1	2	1	0	1
00de0aa0-6b44-4199-9038-a022b63767d5	348	475	1000	333	4	127	11	2	3	0	0	1	0	0
00de5b3a-53ec-4ea4-af07-11aca9f588f5	369	385	1000	343	8	16	18	6	2	0	1	3	1	1
00dfe474-4280-4328-84c2-b2defd25f8df	485	505	1000	459	11	20	15	4	2	0	4	2	1	2
00e06123-67f3-4757-93cb-95e059726c7c	635	660	1000	613	4	25	18	10	0	0	1	1	0	2
00e1c9bc-2e0e-4441-8c3e-f34b0f2c5e3d	413	435	1000	391	8	22	14	3	2	0	1	1	0	4
00e20203-5152-4156-a0be-f5ccfb7938f9	326	355	1000	309	8	29	9	2	3	1	0	4	0	0
00e5ed82-9e25-46f3-b689-f7a4fc746fb0	330	344	18	319	5	14	6	2	2	0	1	0	0	2
00e750d3-9f57-4cc1-8601-cf2e906f0da9	429	448	1000	405	8	19	16	4	1	0	0	4	1	2
00e808b2-cc51-4da2-8128-569b69d45b8b	326	348	1000	297	18	22	11	2	6	0	1	2	0	9
00e87291-7a97-4c60-92b0-77346c0a5a3e	157	235	240	151	3	78	3	1	1	0	1	1	0	0
00ea88d2-a216-4160-8b90-361e03083a96	410	435	1000	382	9	25	19	6	4	0	1	1	0	3
00ebbec2-6584-47ab-90b4-cbdf14d7f74c	275	296	1000	254	8	21	13	3	3	1	1	2	0	1
00eca839-97b1-4e7e-a182-e6eb034d8816	550	665	1000	520	7	115	23	6	2	0	1	2	0	2
00eec6bf-ffbb-4f19-820f-c20355297315	491	513	1000	453	8	22	30	9	4	0	0	1	0	3
00eecc8c-2820-43d6-ac77-a64f5c24d69b	333	424	1000	321	1	91	11	5	0	0	0	0	0	1
00f2e4d1-6d13-4dd2-b383-98354ec0e960	608	629	1000	561	12	21	35	16	2	0	2	5	0	3
00f43dee-d052-4ef3-ace4-bc59873ead8c	324	407	1000	305	7	83	12	5	3	1	1	0	1	1
00f666b7-609e-4ad8-9d6a-d0ae8bbfc436	314	330	1000	269	14	16	31	4	6	0	1	4	1	2
00f86389-8b1c-419c-bf34-c0fe8c1f58fd	283	385	1000	266	6	102	11	2	5	0	0	0	0	1
00f8a4cd-da17-43b0-9d4f-41d1c9ad58f6	316	344	1000	295	7	28	14	4	4	0	0	1	0	2
00f92f7d-38b0-4082-a064-b1dcf919b6dd	241	310	972	221	5	69	15	3	3	0	1	0	0	1
00fb1a0a-bece-452e-a3ed-297d08ee1aad	241	257	48	226	7	16	8	1	4	0	2	0	0	1
00fb2f8e-bcaa-431e-b823-b5b861dc46a7	382	405	1000	354	9	23	19	4	3	0	1	4	0	1
00fb7258-aab0-4234-a50e-58675d66f186	258	294	1000	236	6	36	16	4	3	0	0	0	0	3
00fbcc35-1511-4a5f-b383-2d9e0b64bffd	456	558	1000	440	2	102	14	5	0	0	0	1	1	0
00fc1f3e-9623-45f3-a086-5bc2c1b78840	193	260	1000	184	4	67	5	2	1	0	0	2	0	1
00fcc5b1-bf13-4fbb-944f-c6531d530dfc	717	748	1000	676	12	31	29	3	4	0	0	3	1	4
00fe82b8-0374-449a-9fcb-a34d676bc3cc	326	420	1000	312	5	94	9	6	2	0	1	1	0	1
01035517-cbc2-497c-b647-d30d83f1b0fc	536	547	1000	476	9	11	51	13	4	1	2	0	1	1
0104c720-8fc5-4be5-80b6-5479b4b49d98	353	446	1000	333	8	93	12	1	4	0	2	0	0	2
0106143c-a053-4bee-9112-3cc447fbadb5	362	386	1000	350	6	24	6	3	2	0	1	1	0	2
0106ad65-6890-40c5-9e12-f58100b3144c	282	379	1000	257	12	97	13	4	7	0	0	3	0	2
0106c496-6fd0-447c-8003-d1e6bdffce81	318	482	1000	298	4	164	16	6	3	0	1	0	0	0
01081905-2364-4c70-821a-5b60d813afc7	144	230	6	137	1	86	6	2	1	0	0	0	0	0
0108c983-62fa-4725-8d65-7ef9dbbf3898	237	259	420	229	0	22	8	3	0	0	0	0	0	0
0108e5e7-e37c-4e91-b506-780888815699	129	208	96	125	2	79	2	1	0	0	1	0	1	0
010b4581-cb85-488b-bdf2-113dadda187b	377	463	1000	358	7	86	12	0	3	0	0	3	0	1
010b73ac-b8e9-482c-89e0-0a33739b0840	479	497	1000	453	11	18	15	4	3	0	0	4	1	3
010c73e3-1b39-4cac-b13f-9a234454b2f4	545	578	1000	519	11	33	15	4	6	0	0	2	1	2
010c92f5-cc0f-4ecf-bdd9-3cc0a91196ee	173	275	64	172	0	102	1	1	0	0	0	0	0	0
010d99af-5eba-4fa8-96de-44f056586c27	325	339	1000	314	6	14	5	2	6	0	0	0	0	0
010f1897-9144-4808-97f1-52eea1b34e70	274	367	1000	261	5	93	8	2	3	0	0	0	0	2
010f4834-f681-4d51-bcf7-01fe1ea7c356	420	437	1000	403	2	17	15	7	0	0	0	0	0	2
0113c395-c963-40e8-9e81-290299595387	513	531	1000	493	3	18	17	2	0	0	2	0	0	1
0113cc1c-6c4f-4d55-9499-67fc334a5337	514	613	1000	486	9	99	19	3	2	0	1	0	1	5
011407cb-17ce-46d6-95ef-501f4fcbbd4b	845	956	1000	753	23	111	69	12	8	0	4	6	0	5
0117d071-f600-4be8-adae-5818b666d109	314	334	1000	302	8	20	4	2	4	0	2	2	0	0
011941b7-32f8-487b-a646-ecdd4492fa63	374	470	1000	345	8	96	21	4	5	0	1	0	0	2
01199078-8ffc-4a93-aa74-77f7a7d6a56e	391	411	1000	372	6	20	13	4	1	0	0	2	0	3
011a8bdf-a0f1-49e1-86a6-85900b00fb02	496	522	1000	455	9	26	32	10	6	1	0	1	0	1
0123638d-6f33-4c3b-b228-aad3e7ce6a3f	429	509	1000	399	14	80	16	7	7	1	0	2	2	2
0123bd7a-a19f-4b75-88cf-6214eab7a4e5	381	648	1000	365	5	267	11	6	2	0	0	1	0	2
0124ad6e-2c87-4662-bba6-5640495dcf4a	273	287	1000	257	8	14	8	2	3	0	1	4	0	0
01265bc9-42ef-40ae-9db1-4f6777549b3b	489	515	1000	467	9	26	13	3	5	0	2	0	1	1
012719eb-133f-49a8-983d-9f8382158e90	291	304	1000	277	5	13	9	7	2	0	0	0	0	3
01294e67-dcb5-4c9c-b148-28765565ddb2	110	526	24	109	0	416	1	0	0	0	0	0	0	0
012a5d1b-ccad-4614-ac7c-c12b7e590fe1	562	586	1000	527	15	24	20	7	5	0	2	4	1	3
012b1458-efd3-41e1-a5e4-2b17c731e772	491	518	1000	450	12	27	29	5	8	0	2	1	1	0
012e8069-b589-4483-87a9-19e0c1c24b73	407	422	1000	373	6	15	28	4	4	0	1	0	0	1
